"lam","Fobar","oza","ag","aw"
569,1.81040247524752,0.1151,0,0.0297
570,1.8088077,0.1164,0,0.0337
571,1.76248772277228,0.1173,0,0.0322
572,1.8393544,0.1181,0,0.0274
573,1.8651114,0.1186,0,0.0215
574,1.86281257425743,0.1191,0,0.0158
575,1.826642,0.1194,0,0.0116
576,1.815902,0.1195,0,0.0104
577,1.837482,0.1193,0,0.0106
578,1.804081,0.1187,0,0.0105
579,1.8023435,0.1179,0,0.0082
580,1.823413,0.1169,0,2e-04
581,1.8249485,0.1159,0,0
582,1.8453215,0.1147,0,0
583,1.850969,0.1136,0,0
584,1.8476735,0.1124,0,0
585,1.8167955,0.1113,0,0.0026
586,1.7835715,0.1103,0,0.1233
587,1.817886,0.1093,0,0.2843
588,1.807742,0.1086,0,0.4539
589,1.663188,0.1082,0,0.6053
590,1.71718272727273,0.1082,0,0.7
591,1.7770256,0.1089,0,0.6971
592,1.7965094,0.1102,0,0.6357
593,1.78303818181818,0.1117,0,0.5493
594,1.797327,0.1134,0,0.4543
595,1.78148727272727,0.1152,0,0.3613
596,1.7871264,0.117,0,0.2779
597,1.79980444444444,0.1188,0,0.2019
598,1.7746924,0.1206,0,0.1315
599,1.77220111111111,0.1222,0,0.0692
600,1.767196,0.1236,0,0.0226
601,1.74521181818182,0.1247,0,0.0218
602,1.7240794949495,0.1253,0,0.0172
603,1.761372,0.1252,0,0.0111
604,1.77670141414141,0.1246,0,5e-04
605,1.7718703030303,0.1238,0,3e-04
606,1.75371595959596,0.1227,0,0
607,1.7571305,0.1215,0,0
608,1.73335090909091,0.1203,0,0
609,1.72277878787879,0.119,0,0
610,1.71044808080808,0.1177,0,0
611,1.72140565656566,0.1164,0,0
612,1.71207,0.115,0,0
613,1.70197525252525,0.1136,0,0
614,1.66775686868687,0.1123,0,0
615,1.69271333333333,0.1109,0,0
616,1.64194857142857,0.1096,0,0
617,1.63043424242424,0.1082,0,0
618,1.68189707070707,0.1068,0,0
619,1.68236373737374,0.1054,0,0
620,1.6981893877551,0.1041,0,0
621,1.70591555555556,0.1027,0,0
622,1.67981939393939,0.1013,0,0
623,1.6766652284264,0.1,0,0
624,1.66024390862944,0.0986,0,0
625,1.64606306122449,0.0972,0,0
626,1.65252181818182,0.0959,0.0021,9e-04
627,1.69179540816327,0.0945,0.0049,0.0021
628,1.69641454545455,0.0931,0.0078,0.0033
629,1.68768795918367,0.0917,0.0103,0.0043
630,1.6661887755102,0.0904,0.0114,0.0047
631,1.65580111111111,0.089,0.0103,0.0042
632,1.64164744897959,0.0876,0.0078,0.0031
633,1.65962785714286,0.0863,0.0049,0.0018
634,1.64758030612245,0.0849,0.0021,7e-04
